timestamp,open,high,low,close,volume
2024-03-13,8.078,8.379,7.644,7.727,3984.0
2024-03-14,7.912,8.895,7.6,8.861,59745.0
2024-03-15,8.832,9.002,6.6,7.445,62490.9
2024-03-16,7.454,7.951,6.525,6.742,77452.8
2024-03-17,6.774,8.44,6.688,8.22,106459.8
2024-03-18,8.218,8.558,6.855,7.021,72955.1
2024-03-19,7.009,7.118,6.213,6.387,49519.7
2024-03-20,6.317,7.007,6.036,6.901,56741.7
2024-03-21,6.872,6.975,6.414,6.451,47491.8
2024-03-22,6.438,6.829,6.209,6.481,50485.5
2024-03-23,6.451,6.795,6.384,6.648,21016.7
2024-03-24,6.654,7.0,6.429,7.0,14894.4
2024-03-25,7.007,7.748,6.967,7.417,51278.8
2024-03-26,7.446,8.08,7.446,7.645,96925.5
2024-03-27,7.618,7.881,7.1,7.262,97560.1
2024-03-28,7.249,7.432,7.119,7.192,35018.1
2024-03-29,7.185,7.19,6.862,6.996,13056.7
2024-03-30,6.95,7.321,6.92,6.943,31378.1
2024-03-31,6.949,7.345,6.949,7.287,17238.4
2024-04-01,7.254,7.362,6.578,6.738,48782.1
2024-04-02,6.735,6.735,6.122,6.224,32962.0
2024-04-03,6.205,6.907,6.002,6.635,48005.6
2024-04-04,6.59,7.032,6.349,6.731,25810.3
2024-04-05,6.717,7.494,6.5,7.233,50195.4
2024-04-06,7.197,7.309,6.913,7.018,12787.7
2024-04-07,7.053,7.138,6.843,6.918,20375.7
2024-04-08,6.882,7.568,6.871,7.36,28679.1
2024-04-09,7.396,7.68,7.183,7.229,38220.7
2024-04-10,7.27,7.298,6.656,6.973,28664.5
2024-04-11,6.976,7.319,6.744,6.799,27174.9
2024-04-12,6.805,10.5,5.217,5.794,177672.7
2024-04-13,5.785,5.848,4.291,5.212,314256.1
2024-04-14,5.212,5.733,4.94,5.726,111991.5
2024-04-15,5.703,5.865,4.975,5.226,49311.2
2024-04-16,5.226,5.541,4.91,5.511,74837.3
2024-04-17,5.494,5.657,5.201,5.408,29320.1
2024-04-18,5.408,5.885,5.24,5.704,27775.5
2024-04-19,5.67,6.031,5.23,5.584,66975.8
2024-04-20,5.61,6.25,5.516,6.225,21871.5
2024-04-21,6.188,6.479,6.065,6.453,27210.8
2024-04-22,6.48,7.231,6.349,7.035,40922.5
2024-04-23,7.055,7.267,6.847,6.889,29724.8
2024-04-24,6.899,7.327,6.708,6.852,39503.0
2024-04-25,6.876,7.231,6.608,7.13,42225.3
2024-04-26,7.126,7.526,6.896,6.937,38639.8
2024-04-27,6.939,7.625,6.695,7.133,40993.1
2024-04-28,7.141,7.447,7.031,7.05,15649.7
2024-04-29,7.084,7.105,6.673,6.859,47591.9
2024-04-30,6.857,6.947,5.821,6.179,82264.0
2024-05-01,6.181,6.425,5.379,6.152,59250.1
2024-05-02,6.056,6.211,5.871,6.076,47659.6
2024-05-03,6.097,6.93,6.036,6.875,65707.3
2024-05-04,6.888,6.987,6.777,6.885,45081.8
2024-05-05,6.848,7.527,6.69,7.492,60392.6
2024-05-06,7.488,7.597,7.151,7.295,50166.7
2024-05-07,7.35,7.988,7.116,7.117,57804.2
2024-05-08,7.138,7.284,6.789,6.811,83936.4
2024-05-09,6.822,7.492,6.809,7.477,52135.3
2024-05-10,7.492,7.646,7.128,7.247,39879.7
2024-05-11,7.262,7.326,6.996,7.02,29979.3
2024-05-12,7.022,7.066,6.837,6.885,16109.1
2024-05-13,6.887,7.36,6.553,7.27,76735.0
2024-05-14,7.28,7.386,6.928,7.01,38747.6
2024-05-15,7.01,8.087,6.893,8.051,95971.7
2024-05-16,8.1,8.292,7.854,8.017,57224.9
2024-05-17,8.034,8.518,7.92,8.037,55362.1
2024-05-18,8.024,8.102,7.81,7.927,11530.9
2024-05-19,7.879,7.984,7.685,7.795,29425.9
2024-05-20,7.781,8.327,7.715,8.298,64648.9
2024-05-21,8.286,8.334,7.757,7.825,37886.1
2024-05-22,7.823,8.249,7.703,7.986,26463.4
2024-05-23,7.984,8.17,7.151,7.687,62300.3
2024-05-24,7.688,8.064,7.591,7.906,23556.5
2024-05-25,7.914,8.253,7.867,8.239,19419.7
2024-05-26,8.253,8.375,7.783,7.816,25817.9
2024-05-27,7.807,7.953,7.694,7.823,32436.5
2024-05-28,7.818,7.984,7.519,7.695,25456.4
2024-05-29,7.694,7.817,7.547,7.562,14683.0
2024-05-30,7.585,7.644,7.217,7.284,21054.2
2024-05-31,7.28,7.426,7.078,7.249,23079.1
2024-06-01,7.244,7.452,7.175,7.369,11151.5
2024-06-02,7.369,7.501,7.119,7.21,11762.4
2024-06-03,7.178,7.378,7.081,7.12,26120.6
2024-06-04,7.107,7.474,7.009,7.423,27009.9
2024-06-05,7.424,7.7,7.424,7.679,52574.8
2024-06-06,7.666,7.68,6.97,7.329,60720.1
2024-06-07,7.319,7.448,6.0,6.873,107030.1
2024-06-08,6.872,6.903,6.483,6.572,25064.7
2024-06-09,6.564,6.691,6.511,6.586,28715.3
2024-06-10,6.586,6.632,6.339,6.377,26709.2
2024-06-11,6.385,6.387,6.0,6.063,57671.4
2024-06-12,6.063,6.711,5.872,6.384,56617.4
2024-06-13,6.377,6.377,5.86,5.916,26712.9
2024-06-14,5.921,6.003,5.38,5.586,47212.8
2024-06-15,5.576,5.693,5.511,5.603,16567.2
2024-06-16,5.606,5.73,5.494,5.641,23392.8
2024-06-17,5.641,5.714,4.996,5.158,47078.7
2024-06-18,5.174,5.176,4.462,4.73,92326.6
2024-06-19,4.704,5.1,4.668,4.961,30195.6
2024-06-20,4.958,5.495,4.922,5.16,80450.0
2024-06-21,5.163,5.437,5.098,5.407,100578.7
2024-06-22,5.4,5.413,5.113,5.185,37722.2
2024-06-23,5.183,5.445,5.102,5.17,52032.0
2024-06-24,5.183,5.592,5.026,5.375,192472.0
2024-06-25,5.382,5.633,5.316,5.425,76080.4
2024-06-26,5.429,5.512,5.155,5.176,50775.1
2024-06-27,5.176,5.37,5.074,5.207,52111.2
2024-06-28,5.213,5.239,4.853,4.963,37842.4
2024-06-29,4.956,5.04,4.917,4.968,20068.1
2024-06-30,4.948,5.359,4.861,5.304,55473.1
2024-07-01,5.298,5.388,5.206,5.265,36244.0
2024-07-02,5.266,5.591,5.232,5.507,69195.4
2024-07-03,5.512,5.567,4.976,5.031,97990.4
2024-07-04,5.028,5.086,4.614,4.614,139994.4
2024-07-05,4.619,4.62,4.0,4.418,234497.2
2024-07-06,4.421,4.851,4.375,4.81,58823.1
2024-07-07,4.811,4.825,4.374,4.391,47634.3
2024-07-08,4.393,4.757,4.165,4.468,91572.4
2024-07-09,4.463,4.603,4.371,4.532,63306.6
2024-07-10,4.53,4.744,4.478,4.626,49075.2
2024-07-11,4.623,5.058,4.545,4.93,82296.4
2024-07-12,4.939,5.189,4.747,5.183,72510.0
2024-07-13,5.189,5.335,5.106,5.21,56632.7
2024-07-14,5.203,5.55,5.199,5.4,123003.4
2024-07-15,5.397,6.0,5.363,5.924,134354.4
2024-07-16,5.927,6.277,5.867,6.249,236097.2
2024-07-17,6.249,6.492,6.003,6.068,196407.3
2024-07-18,6.069,6.234,5.864,6.04,164502.0
2024-07-19,6.042,6.447,5.861,6.439,190266.8
2024-07-20,6.437,6.443,6.245,6.29,80974.2
2024-07-21,6.29,6.38,5.7,6.341,217583.1
2024-07-22,6.339,6.461,5.98,6.034,162613.1
2024-07-23,6.038,6.092,5.699,5.768,124450.5
2024-07-24,5.766,6.011,5.535,5.613,132127.0
2024-07-25,5.617,5.728,5.1,5.412,170815.1
2024-07-26,5.409,5.818,5.395,5.722,74742.7
2024-07-27,5.727,5.941,5.54,5.682,84255.5
2024-07-28,5.676,5.677,5.394,5.443,39890.4
2024-07-29,5.441,5.711,5.261,5.279,67169.0
2024-07-30,5.262,5.371,5.07,5.152,63759.4
2024-07-31,5.148,5.292,4.969,4.99,64296.1
2024-08-01,4.995,5.127,4.621,4.98,103316.9
2024-08-02,4.975,5.04,4.57,4.601,92436.8
2024-08-03,4.599,4.719,4.24,4.354,128061.1
2024-08-04,4.361,4.448,3.986,4.129,164191.2
2024-08-05,4.158,4.177,3.078,3.53,612587.0
2024-08-06,3.526,3.803,3.493,3.672,158533.1
2024-08-07,3.681,3.879,3.505,3.569,106300.1
2024-08-08,3.571,4.087,3.475,4.061,120718.4
2024-08-09,4.061,4.169,3.917,4.059,84728.5
2024-08-10,4.043,4.256,3.965,4.169,73432.5
2024-08-11,4.162,4.221,3.828,3.868,70464.3
2024-08-12,3.868,4.131,3.832,4.11,97471.8
2024-08-13,4.098,4.414,3.944,4.306,122153.3
2024-08-14,4.308,4.328,4.108,4.171,73955.0
2024-08-15,4.173,4.248,3.937,4.025,82314.7
2024-08-16,4.023,4.073,3.83,3.974,61756.3
2024-08-17,3.966,4.024,3.923,3.986,59060.7
2024-08-18,3.985,4.066,3.893,3.897,44430.0
2024-08-19,3.9,4.005,3.836,3.997,28809.8
2024-08-20,4.004,4.148,3.95,4.015,51421.8
2024-08-21,4.015,4.307,3.965,4.249,101293.0
2024-08-22,4.248,4.387,4.176,4.303,88524.3
2024-08-23,4.317,4.856,4.317,4.838,193020.3
2024-08-24,4.846,5.262,4.742,5.042,125754.7
2024-08-25,5.052,5.067,4.784,4.926,100936.6
2024-08-26,4.922,5.005,4.706,4.781,85488.3
2024-08-27,4.782,5.012,4.417,4.538,219513.7
2024-08-28,4.507,4.604,4.221,4.345,242830.7
2024-08-29,4.342,4.545,4.121,4.215,148192.4
2024-08-30,4.21,4.298,3.94,4.122,100327.5
2024-08-31,4.109,4.163,3.975,4.032,44911.1
2024-09-01,4.032,4.07,3.818,3.85,90824.1
2024-09-02,3.84,4.025,3.839,3.989,97278.7
2024-09-03,3.989,4.074,3.71,3.72,91015.2
2024-09-04,3.727,3.939,3.557,3.887,124195.0
2024-09-05,3.882,3.926,3.694,3.706,126595.3
2024-09-06,3.717,3.811,3.423,3.546,265667.3
2024-09-07,3.551,3.747,3.548,3.667,122082.1
2024-09-08,3.67,3.824,3.658,3.75,99098.6
2024-09-09,3.766,4.103,3.756,4.016,168399.5
2024-09-10,4.013,4.086,3.945,4.039,110577.5
2024-09-11,4.041,4.05,3.817,3.97,189913.9
2024-09-12,3.969,4.302,3.969,4.245,235947.1
2024-09-13,4.248,4.358,4.117,4.287,135200.5
2024-09-14,4.29,4.305,4.157,4.196,45521.0
2024-09-15,4.192,4.262,4.009,4.02,62184.9
2024-09-16,4.017,4.025,3.848,3.878,83666.9
2024-09-17,3.879,4.304,3.832,4.133,133659.1
2024-09-18,4.133,4.256,3.937,4.251,219129.7
2024-09-19,4.259,4.581,4.258,4.365,512416.7
2024-09-20,4.371,4.545,4.261,4.38,357892.8
2024-09-21,4.388,4.689,4.289,4.668,346262.2
2024-09-22,4.668,4.686,4.381,4.528,446526.2
2024-09-23,4.525,5.269,4.4,5.172,822015.3
2024-09-24,5.177,5.396,5.052,5.344,607067.1
2024-09-25,5.348,5.459,5.108,5.141,489522.5
2024-09-26,5.145,5.87,5.117,5.562,752277.6
2024-09-27,5.545,5.753,5.364,5.455,530651.1
2024-09-28,5.461,5.578,5.333,5.56,546967.9
2024-09-29,5.565,5.627,5.356,5.503,592459.0
2024-09-30,5.507,5.517,5.226,5.29,638302.4
2024-10-01,5.286,5.565,4.589,4.842,763912.5
2024-10-02,4.837,5.003,4.514,4.627,601537.1
2024-10-03,4.625,4.77,4.42,4.629,560656.3
2024-10-04,4.649,4.862,4.594,4.829,571194.3
2024-10-05,4.83,4.867,4.635,4.779,483407.0
2024-10-06,4.777,4.965,4.715,4.947,283250.9
2024-10-07,4.947,5.324,4.918,5.047,545801.7
2024-10-08,5.055,5.158,4.853,4.891,403009.8
2024-10-09,4.892,4.979,4.55,4.605,375630.7
2024-10-10,4.603,4.678,4.403,4.592,473976.4
2024-10-11,4.593,4.803,4.544,4.737,281716.9
2024-10-12,4.738,4.917,4.677,4.844,256788.8
2024-10-13,4.845,4.871,4.562,4.704,200034.7
2024-10-14,4.7,5.079,4.633,5.021,292893.8
2024-10-15,5.035,5.278,4.867,5.068,433553.4
2024-10-16,5.065,5.076,4.885,4.944,190514.1
2024-10-17,4.949,5.034,4.652,4.764,194988.9
2024-10-18,4.768,4.944,4.733,4.893,146279.6
2024-10-19,4.9,4.94,4.76,4.818,87039.9
2024-10-20,4.817,5.015,4.713,4.975,135553.0
2024-10-21,4.986,5.056,4.755,4.781,137101.6
2024-10-22,4.781,4.842,4.621,4.68,130774.6
2024-10-23,4.685,4.685,4.444,4.648,131626.9
2024-10-24,4.646,4.777,4.542,4.701,139741.5
2024-10-25,4.729,4.729,3.964,4.17,324604.4
2024-10-26,4.159,4.271,4.094,4.238,183094.2
2024-10-27,4.232,4.376,4.184,4.302,99841.6
2024-10-28,4.299,4.354,4.072,4.296,267142.5
