timestamp,open,high,low,close,volume
2024-02-25,51566.21,51986.59,51271.4,51720.0,280.08153
2024-02-26,51730.26,54977.87,50895.42,54518.01,1252.35948
2024-02-27,54518.01,57620.0,54490.01,57061.63,1724.48093
2024-02-28,57061.63,64140.67,56723.23,62504.44,2154.86069
2024-02-29,62501.89,63687.68,60288.0,61176.09,1673.03539
2024-03-01,61171.97,63193.69,60792.96,62434.25,1037.06606
2024-03-02,62433.12,62508.08,61605.83,62042.34,547.4741
2024-03-03,62042.33,63259.04,61359.63,63148.45,391.60664
2024-03-04,63143.11,68594.5,62228.8,68336.87,1735.33238
2024-03-05,68337.21,69222.52,59112.0,63803.49,3368.07007
2024-03-06,63803.5,67655.97,62834.01,66112.32,2152.68987
2024-03-07,66117.23,68065.43,65595.99,66935.66,1189.88656
2024-03-08,66935.67,70315.2,66025.81,68276.39,2569.2904
2024-03-09,68276.39,68722.11,68033.68,68458.23,619.13236
2024-03-10,68458.71,70024.0,68198.33,69029.99,924.71479
2024-03-11,69029.99,72891.99,67000.0,72096.46,2339.02162
2024-03-12,72103.98,73000.0,68579.82,71467.43,1409.1058
2024-03-13,71465.8,73676.0,71340.01,73123.31,1167.2557
2024-03-14,73116.55,73816.97,68505.56,71368.0,1265.18767
2024-03-15,71374.46,72390.76,65450.0,69504.01,2898.57401
2024-03-16,69512.0,70045.19,64700.16,65256.02,1044.15143
2024-03-17,65254.0,68862.72,64500.0,68344.0,851.86137
2024-03-18,68343.73,68916.0,66500.0,67607.98,982.50632
2024-03-19,67606.83,68115.47,61501.98,61900.01,2885.48213
2024-03-20,61900.0,68151.01,60750.0,67854.0,3270.71349
2024-03-21,67843.99,68251.55,64500.0,65485.53,1852.26489
2024-03-22,65485.52,66640.21,62200.0,63844.36,1941.83738
2024-03-23,63825.31,65994.01,62995.84,63997.99,1104.92122
2024-03-24,63998.1,67630.71,63766.4,67178.73,883.55718
2024-03-25,67201.99,71224.99,66369.84,69897.93,1161.41572
2024-03-26,69894.11,71573.37,69301.38,69980.0,713.61849
2024-03-27,69982.08,71787.47,68224.62,69427.66,815.59752
2024-03-28,69427.66,71558.09,68848.58,70796.0,546.53701
2024-03-29,70796.01,70923.49,69043.0,69894.0,566.87779
2024-03-30,69890.0,70354.8,69576.32,69609.64,229.70927
2024-03-31,69612.96,71382.13,69591.79,71308.0,380.97287
2024-04-01,71288.01,71301.68,68066.79,69689.83,555.88818
2024-04-02,69677.99,69703.97,64575.0,65471.27,1020.10753
2024-04-03,65477.34,66944.0,64500.0,65986.02,730.25916
2024-04-04,65987.99,69344.0,65091.44,68514.0,535.361
2024-04-05,68516.0,68797.12,65999.04,67853.26,544.51437
2024-04-06,67852.0,69683.99,67482.3,68900.16,232.46881
2024-04-07,68902.68,70329.29,68840.0,69357.99,282.69976
2024-04-08,69357.24,72758.94,69026.6,71623.99,706.12338
2024-04-09,71616.35,71752.01,68181.45,69127.84,660.68915
2024-04-10,69125.01,71161.49,67457.03,70625.08,682.40671
2024-04-11,70627.27,71308.32,69555.4,70009.84,863.29424
2024-04-12,70009.84,71238.88,65005.0,67120.26,1044.95599
2024-04-13,67135.5,67949.32,60002.1,64000.0,1636.27045
2024-04-14,63996.0,65903.67,62166.07,65732.05,1421.35208
2024-04-15,65728.01,66950.63,62322.31,63427.99,1215.36354
2024-04-16,63449.24,64392.44,61641.34,63820.0,975.80472
2024-04-17,63820.0,64507.08,59676.87,61273.46,910.59187
2024-04-18,61272.43,64240.49,60813.27,63500.0,960.04358
2024-04-19,63499.99,65582.69,59610.57,63818.0,1371.80407
2024-04-20,63842.0,65453.63,63120.0,64962.57,514.90567
2024-04-21,64962.01,65723.99,64241.27,64937.98,482.42032
2024-04-22,64944.01,67256.0,64522.43,66847.99,732.36859
2024-04-23,66836.51,67215.98,65824.0,66420.0,642.02935
2024-04-24,66418.23,67070.0,63541.35,64252.0,767.27766
2024-04-25,64250.0,65359.34,62752.0,64487.72,823.6847
2024-04-26,64486.86,64794.0,63288.02,63745.99,643.64656
2024-04-27,63745.99,63899.88,62361.43,63421.93,502.41712
2024-04-28,63421.94,64324.75,62749.76,63097.14,365.60659
2024-04-29,63072.01,64182.0,61759.0,63837.42,706.82007
2024-04-30,63852.0,64708.5,59103.99,60620.0,1423.94578
2024-05-01,60618.01,60777.99,56500.0,58265.56,2879.25765
2024-05-02,58267.89,59638.02,56893.92,59066.67,1608.73397
2024-05-03,59071.99,63374.85,58822.0,62902.01,1522.69953
2024-05-04,62902.0,64551.31,62561.75,63898.01,1104.99889
2024-05-05,63903.97,64656.89,62882.07,64018.01,810.02767
2024-05-06,64026.19,65565.74,62694.66,63170.0,1572.2173
2024-05-07,63167.99,64429.2,62246.8,62318.0,1310.12221
2024-05-08,62312.88,63016.0,60859.02,61176.01,1432.8574
2024-05-09,61154.61,63427.08,60600.0,63065.98,1155.53792
2024-05-10,63065.98,63461.25,60162.49,60789.09,1204.20771
2024-05-11,60789.08,61493.05,60447.51,60814.83,480.00479
2024-05-12,60814.82,61841.99,60584.0,61453.99,441.81132
2024-05-13,61454.0,63446.99,60739.18,62933.01,1112.43167
2024-05-14,62923.8,63108.41,61103.17,61548.17,1088.49059
2024-05-15,61548.16,66479.99,61312.5,66250.0,1738.51055
2024-05-16,66250.0,66768.7,64587.81,65246.0,1290.07934
2024-05-17,65245.99,67480.46,65119.6,67044.03,1036.46607
2024-05-18,67044.03,67401.49,66610.86,66924.23,508.89993
2024-05-19,66924.23,67751.09,65862.81,66266.3,510.9252
2024-05-20,66262.0,71646.46,66066.29,71452.0,1927.86449
2024-05-21,71452.01,72000.0,69148.0,70138.83,1645.89112
2024-05-22,70139.98,70650.65,68813.27,69124.01,724.38077
2024-05-23,69157.58,70045.69,66213.31,67940.55,1029.38924
2024-05-24,67921.05,69242.35,66598.08,68543.99,1081.01729
